300: ftp://ftp.ncbi.nlm.nih.gov/pubmed/baseline/
200: filename content-length last-modified file-type
201: "README.txt" 4073 Mon%2C%2014%20Dec%202020%2013%3A15%3A00%20GMT FILE 
201: "pubmed21n0001.xml.gz" 19679504 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0001.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0002.xml.gz" 17730921 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0002.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0003.xml.gz" 16411857 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0003.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0004.xml.gz" 18077954 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0004.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A50%3A00%20GMT FILE 
201: "pubmed21n0005.xml.gz" 17380728 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0005.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0006.xml.gz" 20394644 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0006.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0007.xml.gz" 20479714 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0007.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0008.xml.gz" 19611972 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0008.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0009.xml.gz" 9127378 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0009.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0010.xml.gz" 12450589 Sat%2C%2012%20Dec%202020%2014%3A51%3A00%20GMT FILE 
201: "pubmed21n0010.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0011.xml.gz" 17352549 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0011.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0012.xml.gz" 16042185 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0012.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0013.xml.gz" 16127989 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0013.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0014.xml.gz" 16690487 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0014.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0015.xml.gz" 14388659 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0015.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0016.xml.gz" 14609072 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0016.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A52%3A00%20GMT FILE 
201: "pubmed21n0017.xml.gz" 13978871 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0017.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0018.xml.gz" 13204351 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0018.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0019.xml.gz" 16099150 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0019.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0020.xml.gz" 12535877 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0020.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A53%3A00%20GMT FILE 
201: "pubmed21n0021.xml.gz" 13257031 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0021.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0022.xml.gz" 13741622 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0022.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0023.xml.gz" 13507543 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0023.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0024.xml.gz" 13560199 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0024.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0025.xml.gz" 13204173 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0025.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0026.xml.gz" 15741241 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0026.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0027.xml.gz" 18148432 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0027.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0028.xml.gz" 14742686 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0028.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A54%3A00%20GMT FILE 
201: "pubmed21n0029.xml.gz" 14123458 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0029.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0030.xml.gz" 13332046 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0030.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0031.xml.gz" 14288612 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0031.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0032.xml.gz" 14026728 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0032.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A55%3A00%20GMT FILE 
201: "pubmed21n0033.xml.gz" 14359766 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0033.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0034.xml.gz" 11128950 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0034.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0035.xml.gz" 10007744 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0035.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0036.xml.gz" 15638372 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0036.xml.gz.md5" 60 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
201: "pubmed21n0037.xml.gz" 14760938 Sat%2C%2012%20Dec%202020%2014%3A56%3A00%20GMT FILE 
